Player_Notes,Player_Name,PF-2015,TO-2015,BLK-2015,STL-2015,AST-2015,TR-2015,DR-2015,OR-2015,PTS-2015,FT %-2015,FT Attempted-2015,FT Made-2015,2P %-2015,2P Attempted-2015,2P Made-2015,3P  %-2015,3P Attempted-2015,3P Made-2015,FG %-2015,FG Attempted-2015,FG Made-2015,Minutes-2015,Games Started-2015,Games-2015,Consolidated_Agent,Agency,Team,Position,Draft_Status,Draft_Year,Draft_Round,Draft_Order,Contract_Contract_Years,Contract_Expires,Current_Contract_Value,Contract_Contract_Avg,College,Experience,Age,Signed_Using,Salary_214-15,Salary_215-16,Salary_216-17,Salary_217-18,Salary_218-19,Previous_Contract_Years,Previous_Contract_TotalVal,Previous_Contract_TotalAvg,Secondary_Agent,Tertiary_Agent,PER_2013_2014,EWA_2013_2014,PER_2014_2015,EWA_2014_2015,Cumulative_TwoYear_EWA
,Manu Ginobili,2.0,2.3,0.3,0.9,4.4,3.0,2.6,0.4,11.4,0.7,3.2,2.3,0.5,5.2,2.5,0.4,3.8,1.4,0.4,9.0,3.9,23.5,0.0,57.0,Herb Rudoy,Interperformances,SAS,SG,Drafted,1999,2,57,2,2015,14500000,7250000,International,12,37,Bird Rights,7,,,,,3,38943114,12981038, Luciano Capicchioni,,20.1,7.4,16.7,4.0,11.4
,Brandon Jennings,1.6,2.2,0.1,1.1,6.6,2.5,2.0,0.5,15.4,0.8,3.5,2.9,0.4,8.1,3.5,0.4,5.1,1.9,0.4,13.2,5.3,28.6,41.0,41.0,Bill Duffy,Excel Sports Management,DET,PG,Drafted,2009,1,10,3,2016,24000000,8000000,International,5,25,Bird Rights,8,8344497,,,,4,10172853,2543213, Rade Filipovich,,15.7,6.3,19.8,5.1,11.4
,Enes Kanter,2.5,1.9,0.3,0.5,0.7,8.3,5.0,3.3,14.3,0.8,2.9,2.2,0.5,11.1,5.7,0.3,0.7,0.2,0.5,11.8,5.9,27.7,60.0,61.0,Max Ergul,NO AFFILIATED AGENCY,OKC,C,Drafted,2011,1,3,4,2015,18652514,4663129,Kentucky,3,22,1st Round Pick,6816,7882663,,,,,,,,,15.7,5.4,18.2,5.9,11.3
,David West,2.4,2.0,0.8,0.8,3.3,7.2,5.4,1.7,12.2,0.8,2.1,1.6,0.5,10.6,5.2,0.2,0.3,0.1,0.5,11.0,5.3,29.2,51.0,51.0,Lance Young,Octagon,IND,PF,Drafted,2003,1,18,3,2016,36600000,12200000,Xavier,11,34,Early Bird Rights,12,126,,,,2,20000000,10000000, Jeff Austin,,17.6,7.4,16.9,3.7,11.1
,Jared Sullinger,2.7,1.4,0.7,0.7,2.4,8.1,5.5,2.7,14.4,0.7,2.3,1.7,0.5,9.7,4.9,0.3,3.4,1.0,0.4,13.1,5.8,28.7,49.0,51.0,David Falk,FAME,BOS,PF,Drafted,2012,1,21,4,2016,6366420,1591605,Ohio State,2,22,1st Round Pick,142452,226926,3273,,,,,,,,16.4,5.9,18.5,5.1,11.0
,Nikola Pekovic,1.9,1.4,0.4,0.6,0.9,7.5,4.7,2.9,12.5,0.8,4.2,3.5,0.4,10.6,4.5,0.0,0.0,0.0,0.4,10.6,4.5,26.3,29.0,31.0,Jeff Schwartz,Excel Sports Management,MIN,C,Drafted,2008,2,31,5,2018,60000000,12000000,International,4,29,Bird Rights,121,121,121,116,,3,12960000,4320000, Miodrag Raznatovic,,20.7,8.4,16.9,2.5,10.9
,Brook Lopez,3.0,1.6,1.6,0.5,0.6,6.9,4.2,2.7,15.4,0.8,3.5,2.8,0.5,12.6,6.3,0.1,0.2,0.0,0.5,12.8,6.3,27.3,27.0,55.0,Jason Ranne,Wasserman Media Group,BRK,C,Drafted,2008,1,10,4,2016,60825938,15206485,Stanford,6,26,Bird Rights,15719,16774,,,,4,9844743,2461186, Arn Tellem,,25.5,4.0,20.2,6.8,10.8
,Mason Plumlee,2.7,1.3,0.9,0.8,0.9,6.6,4.4,2.3,9.7,0.5,4.2,2.1,0.6,6.6,3.8,0.0,0.0,0.0,0.6,6.6,3.8,22.5,43.0,65.0,Mark Bartelstein,Priority Sports,BRK,C,Drafted,2013,1,22,3,2017,4071240,1357080,Duke,1,24,1st Round Pick,13578,141552,232853,3371711,,,,,,,19.1,4.8,19.2,6.0,10.8
,Luol Deng,1.6,1.6,0.3,0.9,2.0,5.0,3.6,1.4,14.2,0.8,3.7,2.8,0.5,7.8,4.1,0.4,2.9,1.1,0.5,10.7,5.2,33.5,58.0,58.0,Herb Rudoy,Interperformances,MIA,SF,Drafted,2004,1,7,2,2016,19866073,9933037,Duke,10,29,Cap Space,9714461,1151612,,,,6,71005425,11834238, Luciano Capicchioni, Manuel Capicchioni,15.2,5.2,16.5,5.5,10.7
,Paul Pierce,2.3,1.4,0.3,0.6,1.9,4.1,3.5,0.7,12.8,0.8,3.2,2.5,0.5,5.2,2.6,0.4,4.2,1.7,0.5,9.4,4.3,26.7,62.0,62.0,Jeff Schwartz,Excel Sports Management,WAS,SF,Drafted,1998,1,10,2,2016,10848725,5424363,Kansas,16,37,MLE,535,5543725,,,,4,61333334,15333334,,,16.8,6.6,15.7,4.1,10.7
,Darren Collison,2.1,2.5,0.3,1.5,5.6,3.2,2.8,0.4,16.1,0.8,4.1,3.2,0.5,8.6,4.4,0.4,3.6,1.3,0.5,12.2,5.8,34.8,45.0,45.0,Bill Duffy,BDA Sports,SAC,PG,Drafted,2009,1,21,3,2017,15040677,5013559,California-Los Angeles,5,27,MLE,4797664,513559,5229454,,,2,3885500,1942750,,,16.2,5.4,17.7,5.3,10.7
,Jordan Hill,2.4,1.5,0.8,0.5,1.5,8.0,5.5,2.5,12.4,0.8,2.5,1.9,0.5,11.2,5.2,0.5,0.1,0.0,0.5,11.3,5.2,27.6,53.0,61.0,Kevin Bradbury,BDA Sports,LAL,C,Drafted,2009,1,8,1,2016,9000000,9000000,Arizona,5,27,Cap Space,9,9,,,,2,7000000,3500000,,,19.4,5.9,16.4,4.6,10.5
,Joe Johnson,1.5,1.9,0.2,0.7,3.4,4.8,4.1,0.7,15.0,0.8,2.2,1.8,0.5,9.1,4.3,0.4,4.2,1.5,0.4,13.3,5.8,35.0,63.0,63.0,Arn Tellem,Wasserman Media Group,BRK,SF,Drafted,2001,1,10,6,2016,123658089,20609682,Arkansas,13,33,Bird Rights,231879,24894863,,,,5,67441887,13488377, Thaddeus A. Foucher,,15.5,6.5,14.2,3.9,10.4
,Timofey Mozgov,2.9,1.3,1.3,0.4,0.6,7.5,4.9,2.5,9.5,0.7,2.6,1.9,0.6,6.8,3.8,0.3,0.1,0.0,0.5,6.9,3.8,25.7,67.0,68.0,Maxim Sharifyanov ,ASM Sports,CLE,C,Undrafted,,,,2,2016,9050000,4525000,International,4,28,Bird Rights,465,495,,,,,,,,,16.8,5.4,16.6,5.0,10.4
,John Henson,2.3,1.4,1.8,0.4,0.8,4.5,2.9,1.6,7.1,0.6,2.1,1.3,0.6,5.0,2.9,0.0,0.0,0.0,0.6,5.0,2.9,18.4,11.0,51.0,James L. Tanner,Tandem Sports + Entertainment,MIL,C,Drafted,2012,1,14,4,2016,12733181,3183295,North Carolina,2,24,1st Round Pick,198732,294322,49419,,,,,, Jr.,,18.0,6.8,18.4,3.4,10.2
,Amar'e Stoudemire,2.9,1.5,0.8,0.5,0.9,6.1,4.1,2.1,11.6,0.7,3.3,2.5,0.6,8.2,4.6,0.0,0.1,0.0,0.6,8.3,4.6,22.5,14.0,46.0,Happy David Walters,Relativity Sports,DAL,C,Drafted,2002,1,9,1,2015,485670,485670,High School,12,32,*Minimum Salary,2341988,,,,,5,99743996,19948799,,,18.9,5.4,20.3,4.8,10.2
,Louis Williams,1.3,1.2,0.1,1.1,1.9,1.9,1.5,0.3,15.2,0.9,5.1,4.4,0.5,5.8,2.7,0.3,5.4,1.8,0.4,11.3,4.5,24.5,0.0,66.0,Leon Rose,,TOR,SG,Drafted,2005,2,45,3,2015,15675000,5225000,High School,9,28,MLE,545,,,,,5,25000000,5000000,,,14.2,2.7,19.9,7.3,10.0
,Terrence Jones,2.3,1.0,1.7,0.6,0.9,7.7,5.0,2.7,12.8,0.6,3.0,2.0,0.5,9.0,4.8,0.3,1.2,0.4,0.5,10.1,5.2,28.2,15.0,23.0,Thaddeus Foucher,Wasserman Media Group,HOU,PF,Drafted,2012,1,18,4,2016,7145049,1786262,Kentucky,2,23,1st Round Pick,161868,2489529,3532642,,,,,, Makhtar Ndiaye, Arn Tellem,19.1,7.9,19.0,2.1,10.0
,Deron Williams,2.3,2.3,0.3,1.0,6.1,3.1,2.7,0.3,13.0,0.8,3.8,3.1,0.4,7.8,3.1,0.4,3.4,1.2,0.4,11.2,4.3,31.1,38.0,51.0,Jeff Schwartz,Excel Sports Management,BRK,PG,Drafted,2005,1,3,5,2017,98772325,19754465,Illinois,9,30,Bird Rights,19754465,21428,22331135,,,3,48799957,16266652,,,17.7,6.9,15.0,3.0,9.9
,Victor Oladipo,2.6,2.7,0.2,1.7,4.0,4.1,3.4,0.7,17.4,0.8,4.3,3.6,0.5,11.2,5.3,0.4,3.1,1.1,0.4,14.4,6.4,35.0,57.0,58.0,Raymond Brothers,IAM Sports,ORL,SG,Drafted,2013,1,2,3,2017,14934480,4978160,Indiana,1,22,1st Round Pick,49782,519252,655296,8551612,,,,,,,13.6,3.9,16.6,5.8,9.7
,Kevin Martin,2.0,1.9,0.0,0.8,2.1,3.8,3.3,0.5,19.7,0.9,4.8,4.2,0.5,10.2,4.7,0.4,5.1,2.0,0.4,15.3,6.8,32.5,27.0,30.0,Dan Fegan,Relativity Sports,MIN,SG,Drafted,2004,1,26,4,2017,27755000,6938750,Western Carolina,10,32,Bird Rights,67925,785,73775,,,5,53000025,10600005,,,16.4,6.4,17.5,3.0,9.4
,Tristan Thompson,2.5,1.0,0.8,0.4,0.5,8.0,4.5,3.5,8.8,0.7,3.0,2.0,0.5,6.3,3.4,0.0,0.0,0.0,0.5,6.3,3.4,27.6,14.0,69.0,Rich Paul,Klutch Sports Management,CLE,C,Drafted,2011,1,4,4,2016,16821270,4205318,Texas,3,23,1st Round Pick,5421233,71566,,,,,,, Leon Rose,,15.0,4.5,15.9,4.8,9.3
,Trevor Ariza,2.4,1.7,0.2,1.9,2.4,5.4,4.4,1.0,12.4,0.9,1.7,1.5,0.5,4.4,2.1,0.3,6.8,2.3,0.4,11.2,4.3,35.6,66.0,66.0,Rob Pelinka,Landmark Sports Agency,HOU,SF,Drafted,2004,2,43,4,2018,32000002,8000001,California-Los Angeles,10,29,Bird Rights,86,82,78,74,,5,33953200,6790640,,,15.9,7.3,12.0,1.6,8.9
,Josh Smith,2.8,2.5,1.4,1.1,3.5,6.5,4.7,1.9,12.1,0.5,2.9,1.4,0.4,9.7,4.3,0.3,2.4,0.7,0.4,12.1,5.0,27.9,32.0,67.0,Brian Dyke,Shibumi Sports,DET,SF,Drafted,2004,1,17,1,2015,2077000,2077000,High School,10,29,,14,14,14,,,4,54000000,13500000, Wallace Prather,,14.1,4.9,14.7,3.8,8.7
,D.J. Augustin,1.2,1.9,0.0,0.6,4.6,2.1,1.8,0.2,10.4,0.9,2.9,2.5,0.4,5.4,2.4,0.3,3.1,1.0,0.4,8.4,3.4,24.3,14.0,67.0,Thaddeus Foucher,Wasserman Media Group,OKC,PG,Drafted,2008,1,9,2,2016,6000000,3000000,Texas,6,27,,3,3,,,,1,1267000,1267000,,,16.2,5.0,15.7,3.6,8.6
,Taj Gibson,2.7,1.2,1.2,0.6,1.3,6.6,3.8,2.8,10.6,0.7,3.1,2.2,0.5,8.6,4.2,0.0,0.0,0.0,0.5,8.6,4.2,28.1,14.0,49.0,Mark Bartelstein,Priority Sports,CHI,PF,Drafted,2009,1,26,4,2017,33000000,8250000,Southern California,5,29,Bird Rights,8,85,895,,,4,8690948,2172737,,,16.1,5.4,16.0,3.1,8.5
,Reggie Jackson,2.0,2.1,0.1,0.8,4.7,4.1,3.4,0.6,13.1,0.9,2.2,2.0,0.5,9.0,4.2,0.3,3.2,0.9,0.4,12.2,5.1,28.5,24.0,61.0,Aaron Mintz,Priority Sports,DET,PG,Drafted,2011,1,24,4,2015,5829450,1457363,Boston College,3,24,1st Round Pick,232568,34144,,,,,,,,,15.4,5.0,15.3,3.5,8.5
,Gorgui Dieng,2.5,1.7,1.6,1.0,2.0,8.5,5.3,3.2,9.5,0.8,3.3,2.6,0.5,6.9,3.4,0.2,0.1,0.0,0.5,7.0,3.5,29.5,42.0,66.0,Arn Tellem,Wasserman Media Group,MIN,C,Drafted,2013,1,21,3,2017,4240560,1413520,Louisville,1,25,1st Round Pick,141348,147444,2348782,3384596,,,,, Makhtar Ndiaye,,16.6,2.4,17.4,6.1,8.5
,Ed Davis,2.6,0.7,1.3,0.6,1.3,7.5,4.6,2.9,8.3,0.5,2.3,1.2,0.6,5.9,3.6,0.0,0.0,0.0,0.6,5.9,3.6,23.9,24.0,66.0,Rob Pelinka,Landmark Sports Agency,LAL,PF,Drafted,2010,1,13,2,2016,2081686,1040843,North Carolina,4,25,Minimum Salary,98184,1162,,,,4,9343100,2335775,,,16.0,2.1,20.0,6.3,8.4
,Andrew Bogut,2.8,1.6,1.6,0.6,2.6,8.0,6.0,1.9,6.3,0.6,0.7,0.4,0.6,5.3,2.9,0.0,0.0,0.0,0.6,5.3,2.9,23.9,49.0,51.0,David Bauman,DB Hoops,GSW,C,Drafted,2005,1,1,5,-,60000000,12000000,Utah,9,30,Bird Rights,12972973,12,112727,,,4,20292310,5073078,,,17.1,5.7,15.3,2.7,8.4
,Jrue Holiday,2.8,2.4,0.6,1.6,7.1,3.5,2.7,0.8,15.2,0.9,2.0,1.7,0.5,10.3,4.8,0.4,3.5,1.3,0.4,13.8,6.1,33.7,37.0,37.0,Anthony Dutt,Wasserman Media Group,NOP,PG,Drafted,2009,1,17,4,2017,41000004,10250001,California-Los Angeles,5,24,Bird Rights,11,11,11,,,4,7557861,1889465,,,17.2,3.5,18.7,4.8,8.3
,Kyle Korver,1.9,1.5,0.5,0.7,2.5,4.1,3.9,0.2,12.4,0.9,1.6,1.4,0.5,2.0,1.0,0.5,6.0,3.0,0.5,8.0,4.0,32.7,64.0,64.0,Jeff Schwartz,Excel Sports Management,ATL,SG,Drafted,2003,2,51,4,2017,24000000,6000000,Creighton,11,30,Bird Rights,6253521,5746479,5239437,,,3,15000000,5000000,,,13.6,3.7,14.9,4.4,8.1
,Anderson Varejao,2.2,1.3,0.6,0.7,1.3,6.5,4.3,2.2,9.8,0.7,1.7,1.3,0.6,7.6,4.3,0.0,0.1,0.0,0.6,7.7,4.3,24.5,26.0,26.0,Dan Fegan,Relativity Sports,CLE,C,Drafted,2004,2,60,3,2018,30000000,10000000,International,10,32,Bird Rights,98,97,93,1,,6,48500000,8050000,,,17.1,5.8,17.8,2.3,8.1
,Draymond Green,3.3,1.7,1.3,1.7,3.6,8.2,6.7,1.5,11.7,0.7,2.5,1.7,0.5,5.5,2.9,0.3,4.3,1.4,0.4,9.7,4.3,32.0,66.0,66.0,Manuel Capicchioni,Wasserman Media Group,GSW,SF,Drafted,2012,2,35,3,2015,2640743,880248,Michigan State,2,24,MLE,915243,,,,,,,, Herb Rudoy, Luciano Capicchioni,12.7,2.0,16.4,5.9,7.9
,Arron Afflalo,2.1,1.6,0.1,0.6,1.8,3.3,2.9,0.4,13.9,0.8,2.8,2.4,0.5,7.3,3.4,0.3,4.5,1.6,0.4,11.8,5.0,32.3,58.0,64.0,Sam Goldfeder,Excel Sports Management,POR,SG,Drafted,2007,1,27,5,2016,36712500,7342500,California-Los Angeles,7,29,Bird Rights,75625,775,,,,4,5005777,1251444,,,16.1,7.1,11.4,0.8,7.9
,Brandon Bass,1.7,1.0,0.4,0.5,1.3,4.8,3.2,1.6,10.3,0.8,2.4,1.9,0.5,8.1,4.1,0.3,0.3,0.1,0.5,8.4,4.2,23.1,27.0,66.0,Anthony Dutt,Stealth Sports,BOS,C,Drafted,2005,2,33,3,2015,19350000,6450000,Louisiana State,9,29,Bird Rights,695,,,,,4,16000000,4000000,,,15.0,4.0,16.1,3.8,7.8
,Kris Humphries,2.0,0.8,0.4,0.5,0.9,6.7,4.8,1.9,8.1,0.8,1.8,1.4,0.5,7.0,3.4,0.0,0.1,0.0,0.5,7.1,3.4,21.3,16.0,56.0,Dan Fegan,Wasserman Media Group,WAS,PF,Drafted,2004,1,14,3,2017,13320000,4440000,Minnesota,10,30,Bird Rights,425,444,463,,,2,24000000,12000000,,,18.3,5.3,15.8,2.5,7.8
,DeMarre Carroll,2.3,1.0,0.2,1.4,1.5,5.2,3.8,1.4,12.0,0.7,2.4,1.8,0.5,4.6,2.5,0.4,4.3,1.7,0.5,9.0,4.3,31.4,56.0,57.0,Bradley Ames,Priority Sports,ATL,SF,Drafted,2009,1,27,2,2015,5000000,2500000,Missouri,5,28,Cap Space,25,,,,,2,1422558,711279, Mark Bartelstein ,,14.0,4.0,15.0,3.8,7.8
,Tyler Zeller,2.5,1.0,0.7,0.2,1.3,5.7,3.8,1.8,9.9,0.8,2.4,2.0,0.5,7.3,4.0,0.0,0.0,0.0,0.5,7.3,4.0,21.0,43.0,66.0,Sam Goldfeder,Excel Sports Management,BOS,C,Drafted,2012,1,17,4,2016,7517295,1879324,North Carolina,2,25,1st Round Pick,17376,2616975,3695168,,,,,,,,15.4,2.5,18.5,5.1,7.6
,Rodney Stuckey,1.9,1.7,0.1,0.8,3.2,3.6,3.1,0.5,13.2,0.8,3.2,2.6,0.5,8.9,4.2,0.4,1.9,0.7,0.5,10.8,4.9,26.5,36.0,58.0,Leon Rose,NO AFFILIATED AGENCY,IND,PG,Drafted,2007,1,15,1,2015,1227985,1227985,Eastern Washington,7,28,Minimum Salary,1227985,,,,,3,25500000,8500000,,,14.0,3.4,16.8,4.1,7.5
,Michael Carter-Williams,2.4,4.1,0.4,1.6,7.1,5.8,4.8,1.0,14.9,0.7,4.6,3.1,0.4,11.6,4.9,0.2,2.8,0.7,0.4,14.4,5.6,33.3,47.0,50.0,Jeff Schwartz,Excel Sports Management,MIL,PG,Drafted,2013,1,11,3,2017,6900000,2300000,Syracuse,1,23,1st Round Pick,234,23994,3183526,4358247,,,,, Sean Kennedy,,15.6,5.5,13.6,2.0,7.5
,Carlos Boozer,2.7,1.3,0.2,0.6,1.3,7.0,5.5,1.6,12.3,0.6,2.3,1.4,0.5,10.7,5.4,0.0,0.0,0.0,0.5,10.7,5.4,24.6,26.0,64.0,Rob Pelinka,Landmark Sports Agency,CHI,PF,Drafted,2002,2,35,1,2015,3251000,3251000,Duke,12,33,,1355,,,,,5,75000000,15000000,,,14.5,3.2,17.1,4.2,7.4
,Amir Johnson,3.0,1.5,0.8,0.6,1.4,5.9,3.8,2.1,9.4,0.6,1.8,1.1,0.6,6.5,3.8,0.4,0.6,0.2,0.6,7.0,4.0,26.5,63.0,64.0,Bill Duffy,BDA Sports,TOR,PF,Drafted,2005,2,56,5,2015,30000000,6000000,High School,9,27,Bird Rights,7,,,,,3,11000000,3666667, Kevin Bradbury,,15.4,4.3,15.4,3.1,7.4
,Jeff Green,1.9,1.4,0.4,0.7,1.7,4.2,3.3,0.8,15.0,0.8,3.9,3.2,0.5,8.7,4.1,0.3,3.8,1.2,0.4,12.6,5.3,31.2,59.0,63.0,David Falk,FAME,MEM,SF,Drafted,2007,1,5,4,2016,35200000,8800000,Georgetown,6,28,Bird Rights,92,92,,,,1,9000000,9000000,,,13.2,3.7,14.4,3.6,7.3
,James Johnson,2.2,1.1,1.1,0.9,1.4,3.9,3.0,0.9,8.2,0.7,1.3,0.9,0.6,5.2,3.4,0.2,0.7,0.2,0.6,5.9,3.5,20.4,17.0,57.0,Mark Bartelstein,Priority Sports,TOR,PF,Drafted,2009,1,16,2,2016,5000000,2500000,Wake Forest,5,28,Cap Space,25,25,,,,2,2011291,1005646,,,18.5,3.3,18.5,4.0,7.3
,Bradley Beal,2.2,1.9,0.3,1.2,3.2,3.9,3.0,0.9,14.9,0.8,2.6,2.1,0.4,9.1,3.8,0.4,4.1,1.7,0.4,13.2,5.6,33.4,45.0,49.0,Mark Bartelstein,Priority Sports,WAS,SG,Drafted,2012,1,3,4,2016,18652514,4663129,Florida,2,21,1st Round Pick,45528,5694673,7471411,,,,,,,,14.3,4.8,13.8,2.5,7.3
,Jodie Meeks,1.5,1.0,0.1,1.0,1.5,1.7,1.5,0.2,11.5,0.9,3.0,2.7,0.5,5.7,2.6,0.3,3.6,1.2,0.4,9.3,3.8,24.8,0.0,44.0,David Bauman,ASM Sports,DET,SG,Drafted,2009,2,41,3,2017,18810000,6270000,Kentucky,5,27,Cap Space,6,627,654,,,2,3050000,1525000,,,14.8,5.4,14.1,1.8,7.2
,Ricky Rubio,2.7,3.0,0.0,1.7,8.8,5.6,4.7,0.9,10.7,0.8,3.4,2.7,0.4,7.9,3.0,0.3,2.4,0.6,0.4,10.2,3.7,31.5,21.0,21.0,Dan Fegan,Relativity Sports,MIN,PG,Drafted,2009,1,5,4,2019,15345456,3836364,International,3,24,1st Round Pick,57686,,,,,,,,,,15.4,5.7,15.9,1.5,7.2
,Jeremy Lin,2.6,2.2,0.4,1.2,4.7,2.6,2.2,0.3,10.9,0.8,3.5,2.7,0.5,6.1,2.8,0.4,2.4,0.9,0.4,8.5,3.7,25.6,23.0,65.0,James L. Tanner,Montgomery Sports Group,LAL,PG,Undrafted,,,,3,2015,25123938,8374646,Harvard,4,26,Cap Space,14898938,,,,,2,1235799,617900, Jr.,,14.3,3.4,15.6,3.7,7.1
,Nick Young,2.0,1.0,0.3,0.5,1.0,2.3,1.9,0.4,13.4,0.9,3.5,3.1,0.4,6.0,2.2,0.4,5.4,2.0,0.4,11.3,4.1,23.8,0.0,42.0,Mark Bartelstein,Priority Sports,LAL,SF,Drafted,2007,1,16,4,2018,21326174,5331544,Southern California,7,29,Cap Space,499442,5219169,5443918,5668667,,2,2334927,1167464,,,16.1,5.1,14.3,1.9,7.0
,J.J. Hickson,1.9,1.3,0.5,0.4,0.8,6.4,4.4,2.0,7.7,0.6,3.0,1.7,0.5,6.3,3.0,0.0,0.0,0.0,0.5,6.4,3.0,19.4,6.0,60.0,Gerard Darnes Soms,ASM Sports,DEN,PF,Drafted,2008,1,19,3,2016,16145250,5381750,North Carolina State,6,26,MLE,538175,56135,,,,1,4000000,4000000, Andrew Miller, Juan Aisa,16.3,5.2,15.0,1.8,7.0
,Roy Hibbert,2.9,1.5,1.7,0.2,1.1,7.2,5.2,2.0,10.6,0.8,2.8,2.3,0.4,9.4,4.1,0.0,0.0,0.0,0.4,9.4,4.1,25.5,60.0,60.0,David Falk,FAME,IND,C,Drafted,2008,1,17,4,2016,58365563,14591391,Georgetown,6,28,Bird Rights,14898938,1551431,,,,4,7314670,1828668,,,13.5,3.5,15.2,3.4,6.9
,J.J. Redick,1.8,1.3,0.1,0.5,1.7,2.1,1.8,0.3,15.3,0.9,2.6,2.3,0.5,5.8,2.9,0.4,5.7,2.4,0.5,11.5,5.3,30.7,63.0,63.0,Arn Tellem,Wasserman Media Group,LAC,SG,Drafted,2006,1,11,4,2017,27755000,6938750,Duke,8,30,Bird Rights,67925,785,73775,,,3,19690000,6563333,,,16.6,3.0,14.8,3.9,6.9
,Chris Andersen,1.6,0.6,1.0,0.5,0.7,5.1,3.9,1.2,5.5,0.7,2.1,1.4,0.6,3.2,2.0,0.3,0.2,0.1,0.6,3.4,2.0,19.6,19.0,49.0,Steve Heumann,Creative Artists Agency,MIA,PF,Undrafted,0,0,0,2,2016,10375000,5187500,Blinn,12,36,Cap Space,53,5,,,,2,2847997,1423999,,,18.6,4.9,16.1,2.0,6.9
,Ryan Anderson,2.0,1.1,0.3,0.6,1.0,5.1,3.2,1.9,14.6,0.9,2.7,2.3,0.5,6.3,3.0,0.3,6.2,2.1,0.4,12.5,5.1,28.6,5.0,52.0,Jeff Austin,Octagon,NOP,PF,Drafted,2008,1,21,4,2016,34000000,8500000,California,6,26,Bird Rights,84915,85,,,,4,6195961,1548990,,,18.9,2.9,16.6,3.8,6.7
,J.R. Smith,2.4,1.4,0.3,1.3,2.9,3.2,2.7,0.4,11.9,0.8,1.2,0.9,0.5,5.3,2.4,0.4,5.6,2.1,0.4,10.9,4.5,29.4,39.0,58.0,Leon Rose,Creative Artists Agency,CLE,SG,Undrafted,2004,1,18,3,2017,17947125,5982375,High School,,,Early Bird Rights,5982375,639975,,,,2,5739194,2869597,,,14.0,4.2,13.5,2.4,6.6
opted out of contract,Andray Blatche,,,,,,,,,,,,,,,,,,,,,,,,0.0,Andy Miller,ASM Sports,WAS,C,Drafted,2005,2,49,3,2015,23384762,7794921,High School,,,,8471339,,,,,,,,,,18.9,6.6,,,6.6
,Spencer Hawes,2.5,0.8,0.9,0.4,1.4,3.8,3.3,0.5,6.4,0.6,1.0,0.6,0.5,3.6,1.7,0.3,2.6,0.8,0.4,6.2,2.5,18.8,15.0,58.0,Mark Bartelstein,Wasserman Media Group,LAC,PF,Drafted,2007,1,10,4,2018,22652350,5663088,Washington,7,26,MLE,535,5543725,578245,621175,,2,13100000,6550000, Gregory Lawrence,,15.8,6.4,11.6,0.1,6.5
,Eric Gordon,2.5,2.2,0.3,0.9,3.9,2.9,2.5,0.5,13.4,0.8,2.0,1.7,0.4,6.2,2.3,0.5,5.1,2.3,0.4,11.3,4.7,33.5,45.0,45.0,Rob Pelinka,Landmark Sports Agency,NOP,SG,Drafted,2008,1,7,4,2016,58365563,14591391,Indiana,6,26,Bird Rights,14898938,1551431,,,,4,12290944,3072736,,,14.9,4.5,13.0,1.8,6.3
,Tiago Splitter,2.1,1.0,0.7,0.6,1.5,4.5,2.9,1.6,7.4,0.8,2.1,1.6,0.5,5.4,2.9,0.0,0.0,0.0,0.5,5.4,2.9,19.2,24.0,41.0,Arn Tellem,Wasserman Media Group,SAS,C,Drafted,2007,1,28,4,2017,36000000,9000000,International,4,30,Bird Rights,925,85,825,,,3,11016000,3672000,,,16.6,3.8,17.3,2.5,6.3
,Khris Middleton,2.3,1.3,0.2,1.6,2.1,4.5,3.9,0.6,12.9,0.9,2.0,1.7,0.5,7.2,3.5,0.4,3.2,1.4,0.5,10.4,4.9,29.0,42.0,63.0,Michael Lindeman,Excel Sports Management,MIL,SG,Drafted,2012,2,39,3,2015,2177719,725906,Texas A&M,2,23,MLE,915243,1181348,,,,,,, Jeffrey A. Schwartz,,12.6,1.3,16.3,4.9,6.2
,Alec Burks,2.4,1.9,0.2,0.6,3.0,4.2,3.5,0.7,13.9,0.8,4.8,3.9,0.4,8.6,3.5,0.4,2.5,1.0,0.4,11.1,4.5,33.3,27.0,27.0,Juan Aisa,ASM Sports,UTA,PG,Drafted,2011,1,12,4,2019,9367716,2341929,Colorado,3,23,1st Round Pick,321369,9213484,994495,159556,11286515,,,, Andrew Miller, Gerard Darnes Soms,15.8,5.3,13.1,0.9,6.2
,Marco Belinelli,1.4,0.9,0.1,0.5,1.7,2.3,1.9,0.4,9.4,0.8,1.6,1.3,0.5,4.2,2.0,0.4,3.5,1.4,0.4,7.7,3.4,22.7,9.0,46.0,Sam Goldfeder,Excel Sports Management,SAS,SF,Drafted,2007,1,18,2,2015,5623750,2811875,International,7,28,MLE,287375,,,,,1,1957000,1957000, Jeffrey A. Schwartz,,15.1,4.6,13.4,1.5,6.1
,Tony Allen,2.8,1.4,0.5,2.0,1.4,4.2,2.6,1.6,8.5,0.7,2.0,1.3,0.5,6.8,3.5,0.2,0.4,0.1,0.5,7.2,3.6,25.9,36.0,57.0,Mike Higgins,Tandem Sports + Entertainment,MEM,SF,Drafted,2004,1,25,4,2017,20000001,5000000,Oklahoma State,10,33,Bird Rights,5,5,5,,,3,9450000,3150000, Derek Powell,,15.6,3.3,14.4,2.7,6.0
